title,company,description,link,listedOn,email,phone,city,region,salary,runDate,jobType,regionName,applyType
Projects Coordinator,Sarah Wilson Recruitment Ltd,"Providing support to the Sales Manager from pre sales to completion, covering project coordination, customer comms and logistics.",https://www.seek.co.nz/job/82667242?type=promoted&ref=search-standalone&origin=cardTitle#sol=085b6905552c0b310db87ec80524344e0190bc96,13d ago,,,Hamilton Lake,Waikato,"Salary from $75,000 plus bonuses",2025-03-13,,,Quick Apply
Part Time Sales Assistant - Under Armour - Hornby,AGI,"Whilst working at pace, our teammates deliver a best in class customer experience that exceeds expectations & excites our customers.",https://www.seek.co.nz/job/82246740?type=standard&ref=search-standalone&origin=cardTitle#sol=0d29712d2f4b2ab9e91bbe23ecf02a2c11678ad6,26d ago,,,Hamilton Lake,Waikato,"Good hourly rate, allowances and staff benefits",2025-03-13,,,Quick Apply
Machine Operator,Oji Fibre Solutions Packaging NZ,"We have a fantastic Production team and are looking for a positive and hardworking person to join our team based at our plant in Penrose, Auckland!",https://www.seek.co.nz/job/82428636?type=standard&ref=search-standalone&origin=cardTitle#sol=42498e0a722f50679239ad0f874ce4c46c8eee8c,6d ago,,,Hamilton Lake,Waikato,$23 – $24 per hour,2025-03-13,,,Apply
Online Fulfilment Coordinator,JB Hi Fi Group Pty Ltd,A great opportunity within our DC Team for an Online Fulfilment Co-Ordinator to join a dynamic and high-performing culture!,https://www.seek.co.nz/job/82100215?type=standard&ref=search-standalone&origin=cardTitle#sol=409040a826d65a1c15778e21396f56e51565180a,1d ago,,,Hamilton Lake,Waikato,"$65,000 – $85,000 per year",2025-03-13,,,Apply
Pharmacy Assistant,Chemist Warehouse,Superstar Pharmacy Assistants needed! Bring your customer service and organsation skills to our Wairau Valley Branch!,https://www.seek.co.nz/job/82601565?type=standard&ref=search-standalone&origin=cardTitle#sol=716e3dc78108dc8efd45fb38f2a9a68d6dcf3d4f,11d ago,,,Hamilton Lake,Waikato,"$72k – $160k, based on grade and experience",2025-03-13,,,Apply
Expressions of Interest - Café Worker,Atomic Coffee Roasters Ltd,Join the Atomic Coffee Roasters team! We're on the hunt for passionate Barista legends to bring energy and flair to our crew!,https://www.seek.co.nz/job/82728467?type=standard&ref=search-standalone&origin=cardTitle#sol=0148b0a866ee05edf5f8d33d225ed185ed1a2a1b,23d ago,,,Hamilton Lake,Waikato,Career development opportunities available,2025-03-13,,,Apply
Operations Coordinators (Day Shift) - MANGERE,My Food Bag,We are looking for Operations Coordinators to join our day shift Ops Team! Full time and part time positions available.,https://www.seek.co.nz/job/82466820?type=standard&ref=search-standalone&origin=cardTitle#sol=b9011c3a2e868aa1ce540d0d7dd5322c40ef3beb,24d ago,,,Hamilton Lake,Waikato,$24 – $28 per hour,2025-03-13,,,Quick Apply
Part-time Sales Assistant,Nicole Rebstock,"We are looking for a part-time sales assistant who is responsible, driven and wants to be part of a friendly team.",https://www.seek.co.nz/job/82158076?type=standard&ref=search-standalone&origin=cardTitle#sol=0eafad3036564b0e931610bf91b0d919e03f4645,7d ago,,,Hamilton Lake,Waikato,$25.00/ hour,2025-03-13,,,Quick Apply
"Sorter | Washroom Attendant",The LaundryCorp Group,We are looking for a hardworking and motivated individual to join us in the heart of our commercial laundry- the washroom!,https://www.seek.co.nz/job/82120049?type=standard&ref=search-standalone&origin=cardTitle#sol=884a539b6d7d785abae9285160198d899a1f5f7f,15d ago,,,Hamilton Lake,Waikato,,2025-03-13,,,Quick Apply
Robotic Service Technician,Robomate,"Robotics Service Technician – Diagnose, repair, and support robotic products. Full training provided. Join our fast-growing, innovative team!",https://www.seek.co.nz/job/82566059?type=standard&ref=search-standalone&origin=cardTitle#sol=63b9d9b983c8be3e2bea212766d030d47ac6642f,2d ago,,,Hamilton Lake,Waikato,,2025-03-13,,,Quick Apply
Business Transformation Consultant,Nimbl Consulting,We’re looking for management consultants with 2-10 years in management consulting or business transformation to join our Auckland & Wellington teams!,https://www.seek.co.nz/job/82372885?type=standard&ref=search-standalone&origin=cardTitle#sol=857c5bb56110d3f27c1aa5075471d550f9bd6cd3,18d ago,,,Hamilton Lake,Waikato,,2025-03-13,,,Quick Apply
Laboratory Technician,Hill Labs,"We have opportunities available for both permanent & fixed term roles working 40 hours per week, as well as part time roles (up to 20 hours per week).",https://www.seek.co.nz/job/82673920?type=standard&ref=search-standalone&origin=cardTitle#sol=f88a9f5b4ad43b0264a1790d1d8b6d7f278945c7,2d ago,,,Hamilton Lake,Waikato,,2025-03-13,,,Apply
Food and Beverage Attendant,Fable Hotels and Resorts,Fable Auckland is looking for a Food and Beverage Attendant to play a crucial role in shaping the guest service experiences in our F&B venue!,https://www.seek.co.nz/job/82288416?type=standard&ref=search-standalone&origin=cardTitle#sol=1bc8a2df936ed96ca60f3e598c63181d343b7ac4,6d ago,,,Hamilton Lake,Waikato,,2025-03-13,,,Quick Apply
Hammerhand/Labourers,CAA/Avsec,Hammerhand / Labourer Wanted!,https://www.seek.co.nz/job/82669575?type=standard&ref=search-standalone&origin=cardTitle#sol=0c6b78e34dd530a6522ecad553bbe7dc6988f929,17d ago,,,Hamilton Lake,Waikato,,2025-03-13,,,Quick Apply
Aviation Security Officer - Load Assistant,Bidfood,Fixed term part time opportunities available for Load Assistants based at Christchurch Airport with full training provided.,https://www.seek.co.nz/job/82602161?type=standard&ref=search-standalone&origin=cardTitle#sol=856a65a0c35cea32db4ca248639c8cc8ec3a38e3,1mo ago,,,Hamilton Lake,Waikato,,2025-03-13,,,Apply
Warehouse Store Person,Briscoe Group,Are you a motivated and detail oriented warehouse store person? Come join our dynamic warehouse team.,https://www.seek.co.nz/job/82297991?type=standard&ref=search-standalone&origin=cardTitle#sol=f44669fc603bb574bac38393cc5f2de67298dcf6,14d ago,,,Hamilton Lake,Waikato,,2025-03-13,,,Apply
Retail Sales Opportunities!,Sanford,Retail Sales Assistants and Experienced Retail Sales Assistants Jobs available at our Nelson store!,https://www.seek.co.nz/job/82046581?type=standard&ref=search-standalone&origin=cardTitle#sol=29229cfc186cc0353aaddb934ce4fd47a6d7d474,7d ago,,,Hamilton Lake,Waikato,,2025-03-13,,,Apply
Factory Processing Worker,HRB Jacobi Ltd,We've got multiple roles at our Mussel factory based in Havelock. Day and night shifts available. Apply today and start ASAP!,https://www.seek.co.nz/job/82420931?type=standard&ref=search-standalone&origin=cardTitle#sol=7372ca7c2b4be4990be9e4fb7ccb0764c9dac894,10d ago,,,Hamilton Lake,Waikato,,2025-03-13,,,Apply
Warehouse assistant,Freerange Works Ltd,"Opportunity for person looking for flexible hours working in newly refurbished building. Carpark, pet friendly by arrangement. Growth opportunity.",https://www.seek.co.nz/job/82593208?type=standard&ref=search-standalone&origin=cardTitle#sol=a295dcbb4d79e3e381d5e1371324ff19c71a4dd2,1d ago,,,Hamilton Lake,Waikato,,2025-03-13,,,Quick Apply
Operations and Purchasing Manager,Parceline Express Ltd,"Hands-on, management role overseeing stock, purchasing, manufacturing, despatch and warehouse. A close-knit team of great people in a NZ-owned company",https://www.seek.co.nz/job/82474974?type=standard&ref=search-standalone&origin=cardTitle#sol=dc43a5a1b0f90ea1da4c6407ce80b4bf677e88fa,,,,Hamilton Lake,Waikato,,2025-03-13,,,Quick Apply
Freight Handler,,"Enjoy a rewarding night shift, work in a supportive team, and grow your skills with Parceline!",https://www.seek.co.nz/job/82728515?type=standard&ref=search-standalone&origin=cardTitle#sol=f765281519abc5ae6317367e2fd0b389efcc8280,,,,Hamilton Lake,Waikato,,2025-03-13,,,Apply
