title,company,description,link,listedOn,email,phone,city,region,salary,runDate,jobType,regionName
General Manager - Post Harvest,Just Avocados Ltd,"Lead dynamic post-harvest teams, drive operational excellence and efficiencies across the Darling Group.",https://www.seek.co.nz/job/82046440?type=promoted&ref=search-standalone&origin=cardTitle#sol=b160b5d721ea2d176aa1bc7074bef9c3f1361f1e,6d ago,,,,,$Dependent on experience and background.,13/03/2025,,Bay-of-Plenty
Quality Assurance & Technical Manager,Montana Group,"Lead a talented small team, drive innovation, improve processes, and help shape the future of our pie production.",https://www.seek.co.nz/job/82145231?type=standard&ref=search-standalone&origin=cardTitle#sol=ec162ab4c8a27a3f5912baac1f54e9f1b16e1ed5,16h ago,,,,,Flexible working options + a 9-day fortnight,13/03/2025,,Bay-of-Plenty
Embedded Software Engineer - Aerospace,Syos Aerospace Limited,"Join us at Syos to be part of a rapidly expanding, innovative company at the forefront of the autonomous vehicle revolution.",https://www.seek.co.nz/job/82624944?type=standard&ref=search-standalone&origin=cardTitle#sol=ac80814ffbb4aeca5efbde20555dae55fa156929,27d ago,,,,,$110 - $130K,13/03/2025,,Bay-of-Plenty
Senior Geospatial Information Systems Officer,Personnel Resources,Our client is looking for a passionate Senior Geospatial Information Systems Officer to join their team!,https://www.seek.co.nz/job/82740042?type=standard&ref=search-standalone&origin=cardTitle#sol=ae2ef00d6bfc77334bd36d0d9d385d0a878852c1,23d ago,,,,,,13/03/2025,,Bay-of-Plenty
Event Coordinator (Parental Leave Cover),Trinity Wharf Tauranga,Join our busy events team at Tauranga's premium hotel & conference venue!,https://www.seek.co.nz/job/82069867?type=standard&ref=search-standalone&origin=cardTitle#sol=945b116c7e690626c674cbfaf2fda6f542f11cdc,10d ago,,,,,,13/03/2025,,Bay-of-Plenty
Business Analyst Lead,Techspace Consulting Limited,"To provide hands-on analysis, lead a team of 4, drive process improvements, and deliver strategic business solutions",https://www.seek.co.nz/job/82146962?type=standard&ref=search-standalone&origin=cardTitle#sol=5019baa7e8a471c7c4e8ebcd15db12e00909989c,14d ago,,,,,,13/03/2025,,Bay-of-Plenty
Data Architect & ML Lead,Cucumber Limited,"Lead big data architecture, MLOps, and data management solutions. Build scalable, impactful systems for real-world challenges.",https://www.seek.co.nz/job/82475984?type=standard&ref=search-standalone&origin=cardTitle#sol=8b395d76cc2c886a43c69986808bd65f5b7bcfdc,27d ago,,,,,,13/03/2025,,Bay-of-Plenty
Research Investment Advisor,New Zealand Forest Research Ltd trading as Scion,"Provide research funding expertise, facilitate effective funding practice, support Scientists in securing funding, maximising the impact of research.",https://www.seek.co.nz/job/82392447?type=standard&ref=search-standalone&origin=cardTitle#sol=e9ed1bb28fc23cc2edbfed4467d42926d9b32aa6,23d ago,,,,,,13/03/2025,,Bay-of-Plenty
Network Consultant,Absolute IT Limited,"Fortinet Guru needed! Lead network security. Expert knowledge of FortiGate, SD-WAN, VPN, Security Fabric, FortiAnalyzer required.",https://www.seek.co.nz/job/82075712?type=standard&ref=search-standalone&origin=cardTitle#sol=95496ae815a5a73eb172ba520ac9b21f157c0ab3,,,,,,,13/03/2025,,Bay-of-Plenty
Senior Business Analyst,Techspace Consulting Limited,"Drive process improvements, analyze business needs, and mentor junior analysts while ensuring high-quality BA deliverables",https://www.seek.co.nz/job/82147315?type=standard&ref=search-standalone&origin=cardTitle#sol=1ad2cd2aa4a72fba1ef9d9266bd3f7736e37bd3c,,,,,,,13/03/2025,,Bay-of-Plenty
Senior Calibration Technician,ESR,We have a permanent part-time opportunity (0.6FTE) for a Senior Technician to calibrate a range of laboratory equipment.,https://www.seek.co.nz/job/82735117?type=promoted&ref=search-standalone&origin=cardTitle#sol=5b5a100dbb40ee5d7f46e44ed24401615600abd7,16d ago,,,,,"$115,000 – $135,000 per year",13/03/2025,,Wellington
Service Management - Product Specialist,Process Panda,Do you enjoy challenging work? Are you interested in building technical solutions that empower customers to better IT Service Management practices?,https://www.seek.co.nz/job/82686424?type=promoted&ref=search-standalone&origin=cardTitle#sol=96a0430a9c50cc94908b4cf9bf90d2db2e61a767,16h ago,,,,,$55 – $83 per hour,13/03/2025,,Wellington
Remote Data Entry - Math Expert,Outlier,"This freelance opportunity is remote and hours are flexible, so you can work whenever is best for you",https://www.seek.co.nz/job/82357786?type=standard&ref=search-standalone&origin=cardTitle#sol=558aafdfb67d538c52b4f5680e7ad96bbe3eda23,1mo ago,,,,,Competitive salary and great team benefits,13/03/2025,,Wellington
IT Systems Engineer,Open Star Technologies,"As an IT Systems Engineer, you will be pivotal in shaping, maintaining and improving the technology infrastructure that supports OpenStar's mission.",https://www.seek.co.nz/job/82740429?type=standard&ref=search-standalone&origin=cardTitle#sol=29f7cafa257256aafcb26d30903e57c3f5a7f3b7,18h ago,,,,,"$74,588 - $87,019 (including 4% superannuation)",13/03/2025,,Wellington
IT Support & Systems Administrator (New Zealand),Optimal Workshop,"As the go-to person for all things IT, you'll handle everything from company systems, supporting our employees globally, and security compliance.",https://www.seek.co.nz/job/82012717?type=standard&ref=search-standalone&origin=cardTitle#sol=755bab7164169ffb9c1fb73b5abcd4c44780ad27,2d ago,,,,,"$60,000 – $65,000 per year, pro rata basis",13/03/2025,,Wellington
